Publication Year,DEC Documents
1946,0
1947,9
1948,37
1949,45
1950,24
1951,23
1952,67
1953,45
1954,38
1955,59
1956,72
1957,132
1958,93
1959,148
1960,127
1961,197
1962,363
1963,353
1964,463
1965,477
1966,643
1967,644
1968,847
1969,1359
1970,1551
1971,1671
1972,1846
1973,1843
1974,1960
1975,2189
1976,2130
1977,2122
1978,2672
1979,3385
1980,3957
1981,3844
1982,4069
1983,4314
1984,4064
1985,4157
1986,4442
1987,4487
1988,4485
1989,4445
1990,4205
1991,4331
1992,5132
1993,5259
1994,4700
1995,4026
1996,3563
1997,3461
1998,3752
1999,3876
2000,4652
2001,4909
2002,5481
2003,5171
2004,4968
2005,5010
2006,5135
2007,4720
2008,4977
2009,4955
2010,4605
2011,3942
2012,4695
2013,3116
