ContentItemId,Abstract,Ancilary Data,ARDA Subject Category,ARDA Volume and Issue,Personal Author,Availability,Bibliographic Type Code,Bibliographic Level,Bibtype Name,CD Number,CD Fulltext Database,CD Fulltext Contributing Office,Contract/Grant Number,Cost of Electronic Copy,Cost of Microfiche,Cost of Paper Copy,Date Abstracted and Indexed,Create Date for CD,Date Cataloging Proofed,Date Indexed Only,Date Processing Complete,Date Prepared for Filming,Date of Publication Freeforrm,Date of Publication Fixed,Date of Expected Release to Public,Date Refilmed,Date Returned from Filmer,Date Sent Abstracting Indexing,Date Sent to Filmer,Descriptions from Thesaurus,Secondary Descriptors,Descriptors Geographic,DESCTEMP,Document ID,Edition,Entered By,AID Contact Number Evaluated,Total Evaluation Cost,Exclude from Prjdoc View,File Format,Fulltext External Reference,File Size,File Software and Version,Fulltext,USAID Geography Code,USAID Geography Name,Related Object Link,New Thesaurus Terms,Institution Authority Code,Institution Name,Institution Role,Inventory Location,Inventory Quantity,ISBN,Language of Text,Mime Type,Notation,NTIS Number,Number of Fiche,Number of Fiche Frames,Stategic Objective Number,Pagination,Collation Notes,Prepped By,Project Number,Project9 Prime Dve Activity,Project Sub Number,REC_NO,Related Docs Links,Report Number,Batch,Box,Shelf Location,Special Processing Instructions,Primary Subject,Document Title,Series Title,Document Title Translated,Title Word Alternate Spelling,Web Collection,Abstract or Index,ABIN load Check Field,USAID Project Number,File,Institution or USAID Bureau Author,Institution or USAID Sponsor,Institution or USAID Publisher,Restricted to USAID Only,Language ISO1 Code,Class,Date Processing Started,Category,DateCreated,DateModified,Active,File Processed,Selected for Cataloguing,Not Selected for Cataloguing,Proofed,Indexed,Processing Complete,Restricted,fliqzid,inmCreatedBy,inmWatchers,Thumbnail,Descriptors_Geographic_t,Descriptors_Geographic_t_date,Language_of_Text_t,Language_of_Text_t_date
159430,,Prefaced by USAID bibliographic input sheet|French ed.: PN-AAE-804,,7:2,,Best available copy -- cover page missing,63,M,Handbook/Manual,Fiche005,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,Industrial technology|Industrial facilities|Small scale enterprises,,,,PN-AAE-803,,,,,True,F|I|E,,"3,012 KB",PDF,,,,,,203,USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A,,,,English,application/pdf,M04.K|M06.M|M04.H|M06.K2.6|P15.VD,,1,60,,,,,,,,6777,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR)|Converted to searchable PDF 2011-05-04 (exact OCR)|Converted to searchable PDF 2011-05-04 (exact OCR),MA00,How to start a new factory or shop : plant requirements primer,"Techniques americaines, no. 3",,,,,6777PN-AAE-803,,D:\Projects\USAID\PDFs\PNAAE803.pdf,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,,False,EN,Industry and technology (General and research),,Notation~Notation Collection~P~P15~P15.V~P15.VD|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology|Notation~Notation Collection~M~M04~M04.K|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial technology|Notation~Notation Collection~M~M06~M06.M|Notation~Notation Collection~M~M04~M04.H|Document Type~Document Type Collection~Reference (all)~Handbook/Manual,3/8/1979 5:00:00 AM,3/10/2013 7:57:50 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
160318,,,,7:2,,,61,M,Reference Document,Fiche005,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,Manufactured products|PAINTS|Industrial facilities|MANUFACTURING|Small scale enterprises|VARNISHES,,,,PN-AAF-697,,,,,True,F|I|E,,"2,766 KB",PDF,,,,,,001292|000203,Wolf Management Engineering Co.|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|S,,,,English,application/pdf,M04.E2|M02.W8|M02.DJ|M04.H|M06.K2.6|M06.M4.3|P15.VD|M02.W6,,1,36,,,,,,,,7665,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF PAINT AND VARNISH BRUSHES,"Plant requirement, no. 24",,,,,7665PN-AAF-697,,D:\Projects\USAID\PDFs\PNAAF697.pdf,001292 - Wolf Management Engineering Co.,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Notation~Notation Collection~M~M04~M04.E~M04.E2|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Consumer goods~Manufactured products|Notation~Notation Collection~P~P15~P15.V~P15.VD|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Coatings~Varnishes|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Coatings~Paints|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Notation~Notation Collection~M~M04~M04.H|Notation~Notation Collection~M~M02~M02.W~M02.W6|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Notation~Notation Collection~M~M02~M02.D~M02.DJ|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Document Type~Document Type Collection~Reference (all)~Reference Document|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Chemical products~Paints|Notation~Notation Collection~M~M02~M02.W~M02.W8|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities,3/8/1979 5:00:00 AM,3/10/2013 8:02:07 PM,True,False,False,False,False,False,False,,,Guest,,,,,,
160394,,,,7:2,,,61,M,Reference Document,Fiche005,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,GAS BURNERS|Industrial facilities|MANUFACTURING|Small scale enterprises,,,,PN-AAF-773,,,,,True,F|I|E,,533 KB,PDF,,,,,,001292|000203,Wolf Management Engineering Co.|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|S,,,,English,application/pdf,M06.7J|M04.H|M06.K2.6|M06.M4.3|P15.VD,,1,18,,,,,,,,7741,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2007-07-26 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF TWO-BURNER GAS PLATES,"Plant requirement, no. 31",,,,,7741PN-AAF-773,,D:\Projects\USAID\PDFs\PNAAF773.pdf,001292 - Wolf Management Engineering Co.,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Notation~Notation Collection~M~M06~M06.7~M06.7J|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Mechanical technology~Gas burners|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Notation~Notation Collection~M~M04~M04.H|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Notation~Notation Collection~P~P15~P15.V~P15.VD|Document Type~Document Type Collection~Reference (all)~Reference Document|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities,3/8/1979 5:00:00 AM,3/12/2013 10:43:44 AM,True,False,False,False,False,False,False,,,Guest,,,,,,
160412,,,,7:2,,Best available copy,61,M,Reference Document,Fiche004,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,CONTAINERS|GLASS|Industrial facilities|MANUFACTURING|Small scale enterprises,,,,PN-AAF-791,,,,,True,F|I|E,,"16,646 KB",PDF,,,,,,001292|000203,Wolf Management Engineering Co.|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|S,,,,English,application/pdf,M02.X|M02.69|M04.H|M06.K2.6|M06.M4.3|P15.VD,,1,66,,,,,,,,7759,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF GLASS CONTAINERS,"Plant requirement, no. 35",,,,,7759PN-AAF-791,,D:\Projects\USAID\PDFs\PNAAF791.pdf,001292 - Wolf Management Engineering Co.,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Notation~Notation Collection~M~M02~M02.X|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Document Type~Document Type Collection~Reference (all)~Reference Document|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Ceramics~Glass|Notation~Notation Collection~P~P15~P15.V~P15.VD|Notation~Notation Collection~M~M04~M04.H|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Containers|Notation~Notation Collection~M~M02~M02.6~M02.69,3/8/1979 5:00:00 AM,3/12/2013 10:43:57 AM,True,False,False,False,False,False,False,,,Guest,,,,,,
160414,,,,7:2,,Best available copy,61,M,Reference Document,Fiche005,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,GLASS|Industrial facilities|MANUFACTURING|Small scale enterprises,,,,PN-AAF-793,,,,,True,F|I|E,,"2,799 KB",PDF,,,,,,001292|000203,Wolf Management Engineering Co.|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|S,,,,English,application/pdf,M02.69|M04.H|M06.K2.6|M06.M4.3|P15.VD,,1,41,,,,,,,,7761,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF FLAT GLASS,,,,,,7761PN-AAF-793,,D:\Projects\USAID\PDFs\PNAAF793.pdf,001292 - Wolf Management Engineering Co.,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Document Type~Document Type Collection~Reference (all)~Reference Document|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Ceramics~Glass|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Notation~Notation Collection~M~M04~M04.H|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Notation~Notation Collection~M~M02~M02.6~M02.69|Notation~Notation Collection~P~P15~P15.V~P15.VD|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises,3/8/1979 5:00:00 AM,3/12/2013 10:44:03 AM,True,False,False,False,False,False,False,,,Guest,,,,,,
160418,,,,7:2,,,61,M,Reference Document,Fiche005,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,Fasteners|Industrial facilities|MANUFACTURING|Small scale enterprises,,,,PN-AAF-797,,,,,True,F|I|E,,967 KB,PDF,,,,,,000773|000203,Methods Engineering Council|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|S,,,,English,application/pdf,M06.72|M04.H|M06.K2.6|M06.M4.3|P15.VD,,1,22,,,,,,,,7765,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF SHELL BUTTONS,"Plant requirement, no. 29",,,,,7765PN-AAF-797,,D:\Projects\USAID\PDFs\PNAAF797.pdf,000773 - Methods Engineering Council,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Mechanical technology~Fasteners|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Notation~Notation Collection~P~P15~P15.V~P15.VD|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Notation~Notation Collection~M~M04~M04.H|Notation~Notation Collection~M~M06~M06.7~M06.72|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Document Type~Document Type Collection~Reference (all)~Reference Document,3/8/1979 5:00:00 AM,3/10/2013 8:02:39 PM,True,False,False,False,False,False,False,,,Guest,,,,,,
160440,,,,7:2,,Best available copy,61,M,Reference Document,Fiche006,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,Industrial facilities|MANUFACTURING|Small scale enterprises|Sugar,,,,PN-AAF-819,,,,,True,F|I|E,,"6,111 KB",PDF,,,,,,000773|000203,Methods Engineering Council|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|S,,,,English,application/pdf,M04.H|M06.K2.6|M06.M4.3|P15.VD|A02.44.M|M02.DF.2E,,1,22,,,,,,,,7787,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF REFINED SUGAR,,,,,,7787PN-AAF-819,,D:\Projects\USAID\PDFs\PNAAF819.pdf,000773 - Methods Engineering Council,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Notation~Notation Collection~P~P15~P15.V~P15.VD|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Notation~Notation Collection~M~M02~M02.D~M02.DF~M02.DF.2~M02.DF.2E|Thesaurus~Thesaurus Collection~Industry and technology~Materials~Chemical products~Food additives~Flavor enhancers~Sugar|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Thesaurus~Thesaurus Collection~Agriculture~Agricultural products~Plant products~Plant source foods~Sugar|Notation~Notation Collection~M~M04~M04.H|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Notation~Notation Collection~A~A02~A02.4~A02.44~A02.44.M|Document Type~Document Type Collection~Reference (all)~Reference Document|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities,3/8/1979 5:00:00 AM,3/10/2013 9:48:16 PM,True,False,False,False,False,False,False,,,Guest,,,,,,
160445,,Prefaced by USAID bibliographic input sheet,,7:2,,Best available copy,61,M,Reference Document,Fiche006,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,Industrial facilities|MANUFACTURING|Small scale enterprises|Tungsten,,,,PN-AAF-824,,,,,True,F|I|E,,"3,659 KB",PDF,,,,,,001147|000203,U.S. Dept. of Commerce. Ofc. of Technical Services|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|S,,,,English,application/pdf,M04.H|M06.K2.6|M06.M4.3|P15.VD|T15.C2.57.Q,,1,14,,,,,,,,7792,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF TUNGSTEN CARBIDES,"Plant requirement, no. 62",,,,,7792PN-AAF-824,,D:\Projects\USAID\PDFs\PNAAF824.pdf,001147 - U.S. Dept. of Commerce. Ofc. of Technical Services,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Notation~Notation Collection~P~P15~P15.V~P15.VD|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Document Type~Document Type Collection~Reference (all)~Reference Document|Notation~Notation Collection~T~T15~T15.C~T15.C2~T15.C2.5~T15.C2.57~T15.C2.57.Q|Notation~Notation Collection~M~M04~M04.H|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Thesaurus~Thesaurus Collection~Science~Physical sciences~Chemistry~Chemicals~Inorganic chemicals~Metals~Tungsten|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities,3/8/1979 5:00:00 AM,3/12/2013 10:44:17 AM,True,False,False,False,False,False,False,,,Guest,,,,,,
160458,,,,7:2,,,61,M,Reference Document,Fiche006,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,Cottonseed oil|Industrial facilities|MANUFACTURING|Small scale enterprises,,,,PN-AAF-837,,,,,True,F|I|E,,"6,928 KB",PDF,,,,,,001292|000203,Wolf Management Engineering Co.|USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,A|S,,,,English,application/pdf,A02.44.U9|M04.H|M06.K2.6|M06.M4.3|P15.VD,,1,35,,,,,,,,7805,,,,,,FROM RANDD|TIFF image made from microfiche 07/2004|Converted to searchable PDF 2008-10-16 (exact OCR),MA00,PLANT REQUIREMENTS FOR MANUFACTURE OF COTTONSEED OIL,,,,,,7805PN-AAF-837,,D:\Projects\USAID\PDFs\PNAAF837.pdf,001292 - Wolf Management Engineering Co.,000203 - USAID. Bur. for Technical Assistance. Ofc. of Science and Technology,,False,EN,Industry and technology (General and research),,Notation~Notation Collection~M~M04~M04.H|Thesaurus~Thesaurus Collection~Industry and technology~Industry~Industrial facilities|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Industrial technology~Industrial processes~Manufacturing|Thesaurus~Thesaurus Collection~Management~Organizations~Business enterprises~Small scale enterprises|Notation~Notation Collection~M~M06~M06.K~M06.K2~M06.K2.6|Notation~Notation Collection~P~P15~P15.V~P15.VD|Thesaurus~Thesaurus Collection~Agriculture~Agricultural products~Plant products~Plant source foods~Vegetable oils~Cottonseed oil|Notation~Notation Collection~M~M06~M06.M~M06.M4~M06.M4.3|Document Type~Document Type Collection~Reference (all)~Reference Document|Thesaurus~Thesaurus Collection~Industry and technology~Technology~Construction engineering~Buildings~Industrial facilities|Notation~Notation Collection~A~A02~A02.4~A02.44~A02.44.U~A02.44.U9,3/8/1979 5:00:00 AM,3/10/2013 9:48:22 PM,True,False,False,False,False,False,False,,,Guest,,,,,,
160477,,,,7:4,"BELTRAN, L. R.",,54,M,Other USAID Supported Study/Document,,,,,,,,,,3/8/1979 12:00:00 AM,10/1/1981 12:00:00 AM,10/1/1981 12:00:00 AM,,1955,1955,,,,,,Agriculture|Extension services|Puppetry (theater)|RURAL AREAS|Audiovisual educational materials,,,,PN-AAF-857,,,,,True,F|E,,"3,059 KB",PDF,,,,,,109,USAID. Bur. for Latin America. Ofc. of Development Resources,S,,,,English,application/pdf,A|P03.KC.2|C06.62.4|L04.42|D29.3|E61.4,,1,38,,,,,,,,7824,,,,,,FROM RANDD|Converted to searchable PDF 2011-06-01 (exact OCR),ED20,PUPPETS GO THE COUNTRY,,,,,,7824PN-AAF-857,,D:\Projects\USAID\PDFs\PNAAF857.pdf,,000109 - USAID. Bur. for Latin America. Ofc. of Development Resources,,False,EN,Educational development,,Document Type~Document Type Collection~Technical Reports (all)~Other USAID Supported Study/Document|Thesaurus~Thesaurus Collection~Education~Educational materials~Audiovisual educational materials|Notation~Notation Collection~C~C06~C06.6~C06.62~C06.62.4|Thesaurus~Thesaurus Collection~Management~Management operations~Supply management~Delivery systems~Extension services|Notation~Notation Collection~L~L04~L04.4~L04.42|Thesaurus~Thesaurus Collection~Economics~Economic regions~Rural areas|Notation~Notation Collection~A|Thesaurus~Thesaurus Collection~Culture and society~Arts~Performing arts~Theater~Puppetry (theater)|Notation~Notation Collection~D~D29~D29.3|Notation~Notation Collection~E~E61~E61.4|Thesaurus~Thesaurus Collection~Human settlements~Settlement regions~Economic regions~Rural areas|Notation~Notation Collection~P~P03~P03.K~P03.KC~P03.KC.2|Thesaurus~Thesaurus Collection~Agriculture,3/8/1979 5:00:00 AM,3/10/2013 8:03:18 PM,True,True,False,False,False,False,False,,,Guest,,,,,,
